Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1973","1973","g/capita/day","76.95","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1974","1974","g/capita/day","85.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1975","1975","g/capita/day","83.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1976","1976","g/capita/day","79.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1977","1977","g/capita/day","78.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1978","1978","g/capita/day","78.9","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1979","1979","g/capita/day","78.84","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1980","1980","g/capita/day","76.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1981","1981","g/capita/day","73.75","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1982","1982","g/capita/day","71.58","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1983","1983","g/capita/day","72.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1984","1984","g/capita/day","72.05","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1985","1985","g/capita/day","73.29","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1986","1986","g/capita/day","68.93","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1987","1987","g/capita/day","66.29","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1988","1988","g/capita/day","58.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1989","1989","g/capita/day","56.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1990","1990","g/capita/day","53.5","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1991","1991","g/capita/day","59.95","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1992","1992","g/capita/day","53.89","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1993","1993","g/capita/day","58.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1994","1994","g/capita/day","59.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1995","1995","g/capita/day","59.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1996","1996","g/capita/day","61.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1997","1997","g/capita/day","58.27","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1998","1998","g/capita/day","53.76","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1999","1999","g/capita/day","56.09","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1961","1961","g/capita/day","24.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1962","1962","g/capita/day","28.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1963","1963","g/capita/day","27.44","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1964","1964","g/capita/day","25.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1965","1965","g/capita/day","24.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1966","1966","g/capita/day","24.19","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1967","1967","g/capita/day","24.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1968","1968","g/capita/day","25.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1969","1969","g/capita/day","26.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1970","1970","g/capita/day","26.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1971","1971","g/capita/day","23.94","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1972","1972","g/capita/day","23.94","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1973","1973","g/capita/day","26","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1974","1974","g/capita/day","25.8","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1975","1975","g/capita/day","25.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1976","1976","g/capita/day","26.43","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1977","1977","g/capita/day","25.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1978","1978","g/capita/day","23.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1979","1979","g/capita/day","26.97","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1980","1980","g/capita/day","23.47","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1981","1981","g/capita/day","23.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2740","Butter, Ghee","1982","1982","g/capita/day","24.57","Fc","Calculated data"
